date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:44	116/116	---M-Z	200	added ('OK')	text/plain	date:Sun,%2003%20Apr%202022%2018:56:43%20GMT	https://www.commonroots.farm/robots.txt		(from )
14:56:45	35885/35885	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20Apr%202022%2018:56:44%20GMT	https://www.commonroots.farm/	/Users/dylanbarth/websites/farm/www.commonroots.farm/index.html	(from )
14:56:45	83369/83369	---M-Z	200	added ('OK')	text/css	etag:%22145a9-5d8a6143f0ce6-gzip%22	https://www.commonroots.farm/wp-includes/css/dist/block-library/style.min.css?ver=5.9.2	/Users/dylanbarth/websites/farm/www.commonroots.farm/wp-includes/css/dist/block-library/style.min6dcf.css	(from https://www.commonroots.farm/)
14:56:46	7378/7378	---M-Z	200	added ('OK')	application/rss+xml	etag:%2249ee91dcb8508e8bdb851f51b99dc016-gzip%22	https://www.commonroots.farm/feed/	/Users/dylanbarth/websites/farm/www.commonroots.farm/feed/index.html	(from https://www.commonroots.farm/)
14:56:46	763/763	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c84345b6c46de1481529165997474d9a-gzip%22	https://www.commonroots.farm/comments/feed/	/Users/dylanbarth/websites/farm/www.commonroots.farm/comments/feed/index.html	(from https://www.commonroots.farm/)
14:56:47	232628/232628	---M-Z	200	added ('OK')	text/css	etag:%2238cb4-5b7feb4a30cbf-gzip%22	https://www.commonroots.farm/wp-content/themes/twentynineteen/style.css?ver=1.9	/Users/dylanbarth/websites/farm/www.commonroots.farm/wp-content/themes/twentynineteen/style3aa8.css	(from https://www.commonroots.farm/)
14:56:47	4111/4111	---M-Z	200	added ('OK')	text/css	etag:%22100f-5b7feb4a2fd1f-gzip%22	https://www.commonroots.farm/wp-content/themes/twentynineteen/print.css?ver=1.9	/Users/dylanbarth/websites/farm/www.commonroots.farm/wp-content/themes/twentynineteen/print3aa8.css	(from https://www.commonroots.farm/)
14:56:48	834/834	---M-Z	200	added ('OK')	text/xml	date:Sun,%2003%20Apr%202022%2018:56:48%20GMT	https://www.commonroots.farm/xmlrpc.php?rsd	/Users/dylanbarth/websites/farm/www.commonroots.farm/xmlrpc0db0.php	(from https://www.commonroots.farm/)
14:56:49	160061/160061	---MC-	200	added ('OK')	application/json	date:Sun,%2003%20Apr%202022%2018:56:49%20GMT	https://www.commonroots.farm/wp-json/	/Users/dylanbarth/websites/farm/www.commonroots.farm/wp-json/index.html	(from https://www.commonroots.farm/)
14:56:49	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	https://www.commonroots.farm/wp-includes/wlwmanifest.xml	/Users/dylanbarth/websites/farm/www.commonroots.farm/wp-includes/wlwmanifest.xml	(from https://www.commonroots.farm/)
